CB_Effective_Denisty,VB_Effective_Denisty,Electron mobility,Hole mobility,Electron Affinity,Bandgap,Dielectric permittivity,eta (%)                      ,Voc (V)                      ,Jsc (mA/cm2)                 ,FF (%)                       
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.75E+00,3.00E+00,1.89E+01,1.46E+00,1.59E+01,8.12E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.75E+00,4.33E+00,1.88E+01,1.46E+00,1.59E+01,8.11E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.75E+00,5.67E+00,1.87E+01,1.46E+00,1.58E+01,8.11E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.75E+00,7.00E+00,1.86E+01,1.46E+00,1.57E+01,8.11E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.77E+00,3.00E+00,1.86E+01,1.48E+00,1.56E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.77E+00,4.33E+00,1.85E+01,1.48E+00,1.55E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.77E+00,5.67E+00,1.84E+01,1.48E+00,1.54E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.77E+00,7.00E+00,1.84E+01,1.48E+00,1.54E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.78E+00,3.00E+00,1.82E+01,1.49E+00,1.51E+01,8.06E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.78E+00,4.33E+00,1.81E+01,1.49E+00,1.51E+01,8.07E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.78E+00,5.67E+00,1.81E+01,1.49E+00,1.50E+01,8.07E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.78E+00,7.00E+00,1.80E+01,1.49E+00,1.50E+01,8.08E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.80E+00,3.00E+00,1.75E+01,1.51E+00,1.44E+01,8.04E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.80E+00,4.33E+00,1.74E+01,1.51E+00,1.44E+01,8.05E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.80E+00,5.67E+00,1.74E+01,1.51E+00,1.44E+01,8.06E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.65E+00,1.80E+00,7.00E+00,1.74E+01,1.50E+00,1.43E+01,8.07E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.75E+00,3.00E+00,1.85E+01,1.46E+00,1.54E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.75E+00,4.33E+00,1.85E+01,1.46E+00,1.54E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.75E+00,5.67E+00,1.85E+01,1.46E+00,1.54E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.75E+00,7.00E+00,1.84E+01,1.46E+00,1.53E+01,8.25E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.77E+00,3.00E+00,1.83E+01,1.47E+00,1.51E+01,8.23E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.77E+00,4.33E+00,1.83E+01,1.47E+00,1.51E+01,8.23E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.77E+00,5.67E+00,1.82E+01,1.47E+00,1.51E+01,8.23E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.77E+00,7.00E+00,1.82E+01,1.47E+00,1.50E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.78E+00,3.00E+00,1.80E+01,1.49E+00,1.47E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.78E+00,4.33E+00,1.80E+01,1.49E+00,1.47E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.78E+00,5.67E+00,1.79E+01,1.49E+00,1.47E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.78E+00,7.00E+00,1.79E+01,1.49E+00,1.47E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.80E+00,3.00E+00,1.74E+01,1.50E+00,1.41E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.80E+00,4.33E+00,1.74E+01,1.50E+00,1.41E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.80E+00,5.67E+00,1.74E+01,1.50E+00,1.41E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.73E+00,1.80E+00,7.00E+00,1.74E+01,1.50E+00,1.41E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.75E+00,3.00E+00,1.84E+01,1.45E+00,1.52E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.75E+00,4.33E+00,1.84E+01,1.45E+00,1.52E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.75E+00,5.67E+00,1.84E+01,1.45E+00,1.52E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.75E+00,7.00E+00,1.83E+01,1.45E+00,1.51E+01,8.34E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.77E+00,3.00E+00,1.82E+01,1.47E+00,1.49E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.77E+00,4.33E+00,1.82E+01,1.47E+00,1.49E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.77E+00,5.67E+00,1.82E+01,1.47E+00,1.49E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.77E+00,7.00E+00,1.82E+01,1.47E+00,1.49E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.78E+00,3.00E+00,1.80E+01,1.49E+00,1.46E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.78E+00,4.33E+00,1.80E+01,1.49E+00,1.46E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.78E+00,5.67E+00,1.80E+01,1.49E+00,1.45E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.78E+00,7.00E+00,1.80E+01,1.49E+00,1.45E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.80E+00,3.00E+00,1.75E+01,1.50E+00,1.40E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.80E+00,4.33E+00,1.75E+01,1.50E+00,1.40E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.80E+00,5.67E+00,1.75E+01,1.50E+00,1.40E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,1.50E+00,3.80E+00,1.80E+00,7.00E+00,1.74E+01,1.50E+00,1.40E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.75E+00,3.00E+00,1.89E+01,1.46E+00,1.59E+01,8.12E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.75E+00,4.33E+00,1.88E+01,1.46E+00,1.59E+01,8.11E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.75E+00,5.67E+00,1.87E+01,1.46E+00,1.58E+01,8.11E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.75E+00,7.00E+00,1.86E+01,1.46E+00,1.57E+01,8.11E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.77E+00,3.00E+00,1.86E+01,1.48E+00,1.56E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.77E+00,4.33E+00,1.85E+01,1.48E+00,1.55E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.77E+00,5.67E+00,1.84E+01,1.48E+00,1.54E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.77E+00,7.00E+00,1.84E+01,1.48E+00,1.54E+01,8.09E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.78E+00,3.00E+00,1.82E+01,1.49E+00,1.51E+01,8.06E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.78E+00,4.33E+00,1.81E+01,1.49E+00,1.51E+01,8.07E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.78E+00,5.67E+00,1.81E+01,1.49E+00,1.50E+01,8.07E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.78E+00,7.00E+00,1.80E+01,1.49E+00,1.50E+01,8.08E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.80E+00,3.00E+00,1.75E+01,1.51E+00,1.44E+01,8.04E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.80E+00,4.33E+00,1.74E+01,1.51E+00,1.44E+01,8.05E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.80E+00,5.67E+00,1.74E+01,1.51E+00,1.44E+01,8.06E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.65E+00,1.80E+00,7.00E+00,1.74E+01,1.50E+00,1.43E+01,8.06E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.75E+00,3.00E+00,1.85E+01,1.46E+00,1.54E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.75E+00,4.33E+00,1.85E+01,1.46E+00,1.54E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.75E+00,5.67E+00,1.84E+01,1.46E+00,1.54E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.75E+00,7.00E+00,1.84E+01,1.46E+00,1.53E+01,8.25E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.77E+00,3.00E+00,1.83E+01,1.47E+00,1.51E+01,8.23E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.77E+00,4.33E+00,1.83E+01,1.47E+00,1.51E+01,8.23E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.77E+00,5.67E+00,1.82E+01,1.47E+00,1.51E+01,8.23E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.77E+00,7.00E+00,1.82E+01,1.47E+00,1.50E+01,8.24E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.78E+00,3.00E+00,1.80E+01,1.49E+00,1.47E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.78E+00,4.33E+00,1.80E+01,1.49E+00,1.47E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.78E+00,5.67E+00,1.79E+01,1.49E+00,1.47E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.78E+00,7.00E+00,1.79E+01,1.49E+00,1.47E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.80E+00,3.00E+00,1.74E+01,1.50E+00,1.41E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.80E+00,4.33E+00,1.74E+01,1.50E+00,1.41E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.80E+00,5.67E+00,1.74E+01,1.50E+00,1.41E+01,8.21E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.73E+00,1.80E+00,7.00E+00,1.74E+01,1.50E+00,1.41E+01,8.22E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.75E+00,3.00E+00,1.84E+01,1.45E+00,1.52E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.75E+00,4.33E+00,1.84E+01,1.45E+00,1.52E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.75E+00,5.67E+00,1.84E+01,1.45E+00,1.52E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.75E+00,7.00E+00,1.83E+01,1.45E+00,1.51E+01,8.34E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.77E+00,3.00E+00,1.82E+01,1.47E+00,1.49E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.77E+00,4.33E+00,1.82E+01,1.47E+00,1.49E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.77E+00,5.67E+00,1.82E+01,1.47E+00,1.49E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.77E+00,7.00E+00,1.82E+01,1.47E+00,1.49E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.78E+00,3.00E+00,1.80E+01,1.49E+00,1.46E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.78E+00,4.33E+00,1.80E+01,1.49E+00,1.46E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.78E+00,5.67E+00,1.80E+01,1.49E+00,1.45E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.78E+00,7.00E+00,1.80E+01,1.49E+00,1.45E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.80E+00,3.00E+00,1.75E+01,1.50E+00,1.40E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.80E+00,4.33E+00,1.75E+01,1.50E+00,1.40E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.80E+00,5.67E+00,1.75E+01,1.50E+00,1.40E+01,8.32E+01
1.00E+18,1.20E+18,1.50E+00,3.25E+00,3.80E+00,1.80E+00,7.00E+00,1.74E+01,1.50E+00,1.40E+01,8.33E+01
1.00E+18,1.20E+18,1.50E+00,5.00E+00,3.65E+00,1.75E+00,3.00E+00,1.89E+01,1.46E+00,1.59E+01,8.12E+01
1.00E+18,1.20E+18,1.50E+00,5.00E+00,3.65E+00,1.75E+00,4.33E+00,1.88E+01,1.46E+00,1.59E+01,8.11E+01
